hour,Cargo,Fishing,Military,Not Available,Other,Passenger,Pleasure Craft,Tanker,Tug Tow,day,month,year
0,28249.0,18187.0,413.0,3304.0,46202.0,28555.0,76386.0,15299.0,137000.0,1,1,2023
1,27870.0,17387.0,414.0,3245.0,44944.0,27892.0,74347.0,14741.0,135330.0,1,1,2023
2,27723.0,17646.0,415.0,3232.0,44317.0,27500.0,73253.0,14554.0,133661.0,1,1,2023
3,27256.0,17606.0,429.0,3227.0,44120.0,27169.0,73900.0,14367.0,133515.0,1,1,2023
4,27601.0,18039.0,426.0,3284.0,45189.0,27126.0,74201.0,14411.0,134089.0,1,1,2023
5,27024.0,17829.0,410.0,3262.0,44328.0,25757.0,73296.0,13591.0,131162.0,1,1,2023
6,26760.0,17875.0,420.0,3248.0,44424.0,24084.0,73565.0,13574.0,132115.0,1,1,2023
7,27249.0,18677.0,429.0,3282.0,44355.0,23233.0,75158.0,13739.0,132750.0,1,1,2023
8,26827.0,18569.0,419.0,3273.0,43327.0,22508.0,74931.0,13332.0,131876.0,1,1,2023
9,26881.0,18761.0,432.0,3270.0,43001.0,22052.0,76338.0,12874.0,132755.0,1,1,2023
10,26510.0,18873.0,434.0,3247.0,42086.0,21834.0,77312.0,12528.0,131310.0,1,1,2023
11,26331.0,18501.0,426.0,3215.0,40993.0,22047.0,77343.0,12423.0,130056.0,1,1,2023
12,26562.0,18405.0,424.0,3282.0,40361.0,21865.0,79146.0,12146.0,130362.0,1,1,2023
13,25806.0,17995.0,421.0,3287.0,39079.0,21459.0,79962.0,11578.0,130936.0,1,1,2023
14,25484.0,17708.0,425.0,3263.0,38666.0,21866.0,81575.0,11553.0,130911.0,1,1,2023
15,25579.0,17809.0,433.0,3294.0,39053.0,23347.0,85927.0,11721.0,130758.0,1,1,2023
16,25661.0,17678.0,456.0,3376.0,38327.0,23793.0,88974.0,11548.0,130159.0,1,1,2023
17,25869.0,17771.0,449.0,3329.0,38331.0,24505.0,90046.0,11676.0,131218.0,1,1,2023
18,26046.0,17907.0,435.0,3417.0,38241.0,24808.0,92263.0,11603.0,131282.0,1,1,2023
19,26318.0,18189.0,395.0,3377.0,37980.0,25201.0,93414.0,11645.0,131964.0,1,1,2023
20,26174.0,17974.0,396.0,3471.0,38051.0,25282.0,91581.0,11978.0,132162.0,1,1,2023
21,26784.0,18174.0,389.0,3508.0,38763.0,25450.0,88891.0,12392.0,132461.0,1,1,2023
22,26631.0,17948.0,388.0,3479.0,38704.0,24798.0,84450.0,12535.0,131510.0,1,1,2023
23,26955.0,18167.0,389.0,3322.0,38680.0,24198.0,80935.0,12629.0,130299.0,1,1,2023
0,27270.0,18092.0,382.0,3200.0,38665.0,23427.0,77916.0,12715.0,129764.0,2,1,2023
1,27318.0,18087.0,389.0,3198.0,38690.0,22742.0,75638.0,12622.0,129712.0,2,1,2023
2,27141.0,18080.0,378.0,3183.0,38375.0,21727.0,74266.0,12646.0,129488.0,2,1,2023
3,27303.0,18425.0,388.0,3143.0,38195.0,21131.0,73805.0,12479.0,129729.0,2,1,2023
4,27233.0,18470.0,381.0,3234.0,37584.0,20421.0,74259.0,12612.0,128507.0,2,1,2023
5,27531.0,19169.0,391.0,3119.0,37175.0,20049.0,74112.0,12653.0,128502.0,2,1,2023
6,27287.0,19092.0,375.0,3010.0,36804.0,19471.0,72873.0,12588.0,127173.0,2,1,2023
7,27743.0,19418.0,387.0,3058.0,37741.0,19472.0,74125.0,12524.0,127766.0,2,1,2023
8,28104.0,19288.0,382.0,3093.0,38852.0,19808.0,74340.0,12343.0,127503.0,2,1,2023
9,28595.0,19699.0,389.0,3222.0,40051.0,20422.0,74755.0,12288.0,127617.0,2,1,2023
10,28380.0,19904.0,388.0,3227.0,41415.0,21517.0,74947.0,12482.0,127903.0,2,1,2023
11,27794.0,20139.0,389.0,3216.0,42176.0,23020.0,75603.0,12596.0,127813.0,2,1,2023
12,27318.0,20504.0,383.0,3310.0,42895.0,23782.0,78287.0,12550.0,129414.0,2,1,2023
13,27079.0,20702.0,393.0,3487.0,43831.0,24759.0,80074.0,12623.0,128797.0,2,1,2023
14,26786.0,20938.0,407.0,3285.0,42776.0,25460.0,81881.0,12285.0,110945.0,2,1,2023
15,26827.0,20517.0,403.0,3309.0,42577.0,25902.0,84857.0,12439.0,111825.0,2,1,2023
16,26917.0,20534.0,443.0,3270.0,42034.0,26339.0,85428.0,12546.0,112088.0,2,1,2023
17,27112.0,20413.0,454.0,3332.0,41175.0,26901.0,86878.0,12402.0,112798.0,2,1,2023
18,26899.0,20433.0,454.0,3331.0,40952.0,27145.0,87906.0,12527.0,112649.0,2,1,2023
19,26726.0,20135.0,489.0,3358.0,41095.0,27648.0,88503.0,12595.0,113328.0,2,1,2023
20,26008.0,19598.0,484.0,3203.0,40577.0,27379.0,86079.0,12291.0,112103.0,2,1,2023
21,26294.0,19506.0,485.0,3212.0,40855.0,27766.0,83419.0,12492.0,114060.0,2,1,2023
22,26208.0,19264.0,482.0,3165.0,40134.0,27190.0,78672.0,12151.0,112877.0,2,1,2023
23,26593.0,19176.0,451.0,3083.0,39272.0,26435.0,75907.0,12294.0,111879.0,2,1,2023
0,26359.0,19350.0,476.0,3025.0,38023.0,24910.0,74073.0,12627.0,111435.0,3,1,2023
1,27000.0,19649.0,481.0,3050.0,37702.0,23844.0,73336.0,12770.0,111595.0,3,1,2023
2,27504.0,19686.0,447.0,3033.0,38745.0,23251.0,72813.0,13318.0,111551.0,3,1,2023
