hour,Cargo,Fishing,Military,Not Available,Other,Passenger,Pleasure Craft,Tanker,Tug Tow,day,month,year
0,1014.0,783.0,18.0,93.0,1396.0,828.0,5032.0,541.0,3204.0,1,1,2023
1,1008.0,781.0,20.0,92.0,1376.0,804.0,4975.0,528.0,3195.0,1,1,2023
2,1000.0,762.0,19.0,94.0,1390.0,799.0,4921.0,535.0,3187.0,1,1,2023
3,1001.0,769.0,19.0,92.0,1381.0,791.0,4932.0,533.0,3158.0,1,1,2023
4,1016.0,780.0,19.0,93.0,1374.0,768.0,4913.0,542.0,3173.0,1,1,2023
5,1014.0,790.0,18.0,93.0,1370.0,760.0,4912.0,538.0,3170.0,1,1,2023
6,1005.0,784.0,19.0,93.0,1347.0,739.0,4918.0,523.0,3142.0,1,1,2023
7,1030.0,787.0,19.0,91.0,1335.0,707.0,4950.0,535.0,3142.0,1,1,2023
8,1010.0,792.0,19.0,88.0,1316.0,682.0,4924.0,536.0,3135.0,1,1,2023
9,1014.0,788.0,19.0,89.0,1316.0,668.0,4926.0,528.0,3145.0,1,1,2023
10,995.0,790.0,19.0,89.0,1304.0,670.0,4966.0,532.0,3135.0,1,1,2023
11,987.0,790.0,19.0,89.0,1296.0,685.0,4972.0,522.0,3113.0,1,1,2023
12,1006.0,790.0,20.0,88.0,1291.0,682.0,5022.0,504.0,3105.0,1,1,2023
13,991.0,780.0,19.0,87.0,1306.0,685.0,5036.0,492.0,3118.0,1,1,2023
14,982.0,768.0,20.0,90.0,1299.0,702.0,5139.0,481.0,3128.0,1,1,2023
15,977.0,767.0,20.0,95.0,1302.0,731.0,5256.0,484.0,3116.0,1,1,2023
16,978.0,771.0,21.0,91.0,1287.0,728.0,5308.0,481.0,3090.0,1,1,2023
17,978.0,758.0,20.0,92.0,1255.0,719.0,5364.0,486.0,3073.0,1,1,2023
18,972.0,759.0,21.0,94.0,1265.0,726.0,5455.0,476.0,3062.0,1,1,2023
19,969.0,765.0,20.0,94.0,1224.0,723.0,5512.0,481.0,3059.0,1,1,2023
20,973.0,753.0,20.0,96.0,1233.0,738.0,5475.0,479.0,3061.0,1,1,2023
21,993.0,770.0,19.0,93.0,1257.0,746.0,5368.0,484.0,3060.0,1,1,2023
