date,group_id,group,<2 sec,2-5 sec,5-10 sec,10-30 sec,30-60 sec,1-2 min,2-5 min,5-10 min,10-30 min,30-60 min,1-2 hour,2-5 hour,5-10 hour,10-15 hour,15-20 hour,20-24 hour
2023-01-01,0,Not Available,34,35,384,2107,3393,464196,95388,15592,3169,522,217,140,80,51,9,3
2023-01-01,1,Other,99,17,89,1071,2129,297271,1295398,277881,48318,5155,1795,843,219,119,49,5
2023-01-01,2,Tanker,0,0,3,16,20,3446,5652,855,42,5,2,2,0,0,0,0
2023-01-01,3,Military,30,10,139,993,1711,229953,166938,26277,5266,854,295,187,43,13,4,3
2023-01-01,4,Pleasure Craft,150,77,1935,13096,20751,2827734,268299,27205,5190,932,419,237,103,44,19,3
2023-01-01,5,Tug Tow,4,0,44,310,487,67829,8622,1610,325,78,40,17,1,3,1,0
2023-01-01,6,Cargo,16,8,148,786,1117,160057,129564,13496,1994,350,133,86,27,10,2,1
2023-01-01,7,Passenger,41,43,462,3282,5271,733482,210096,29899,5625,857,350,224,100,38,6,0
2023-01-01,8,Fishing,38,21,303,1671,2550,353259,256623,20141,3272,595,243,142,35,7,2,2
2023-01-02,0,Not Available,28,25,360,1993,3377,446499,96903,15747,3106,504,180,109,62,30,23,1
2023-01-02,1,Other,60,28,85,1088,2053,282665,1272486,274145,47116,5199,1775,816,243,70,51,11
2023-01-02,2,Tanker,0,0,3,11,23,3084,5816,926,49,10,2,1,0,0,0,0
2023-01-02,3,Military,26,3,138,1054,1959,263850,169072,25833,5159,772,346,186,63,20,9,2
2023-01-02,4,Pleasure Craft,88,42,1693,12089,19359,2596793,260871,24408,4125,692,325,204,87,19,9,1
2023-01-02,5,Tug Tow,3,1,31,300,480,65626,8756,1611,229,55,23,14,4,1,0,0
2023-01-02,6,Cargo,4,8,118,667,1048,145723,136939,12637,1536,229,113,79,23,6,3,0
2023-01-02,7,Passenger,31,33,416,3231,5129,702474,213239,30382,5646,882,376,203,77,24,4,2
2023-01-02,8,Fishing,31,12,255,1575,2573,345206,278557,19577,2624,463,205,140,38,7,6,0
2023-01-03,0,Not Available,18,47,351,2192,3366,466462,92427,15217,3280,557,247,121,99,44,14,1
2023-01-03,1,Other,49,5,82,924,1739,241845,1215905,274775,48372,5513,1790,898,254,80,26,4
2023-01-03,2,Tanker,0,0,2,26,32,4822,5731,951,40,8,8,0,1,0,0,0
2023-01-03,3,Military,11,0,124,1065,1915,258745,171472,26929,5085,692,280,181,55,27,6,1
2023-01-03,4,Pleasure Craft,68,78,1750,12427,19108,2605230,242376,24443,4236,781,378,272,83,39,11,1
2023-01-03,5,Tug Tow,2,0,42,306,483,67449,8320,1368,244,58,34,17,6,3,0,0
2023-01-03,6,Cargo,8,14,108,743,1167,155654,132545,13540,1627,320,141,110,28,9,3,0
2023-01-03,7,Passenger,30,39,430,3089,4927,679919,208672,30619,6091,935,402,258,86,46,19,2
2023-01-03,8,Fishing,18,13,263,1607,2681,354008,277990,22154,2725,439,180,129,40,8,5,0
